City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Kahului,US,2022-12-19 01:03:16,20.8947,-156.47,69.84,96,100,1.99
274,Vila Franca Do Campo,PT,2022-12-19 01:11:11,37.7167,-25.4333,64.2,87,100,19.73
275,Margate,GB,2022-12-19 01:12:11,51.3813,1.3862,49.69,95,100,8.01
276,Ous,RU,2022-12-19 01:12:12,60.9058,61.5186,15.57,95,100,6.17
277,Los Llanos De Aridane,ES,2022-12-19 01:12:13,28.6585,-17.9182,62.35,72,0,6.91
278,Kastamonu,TR,2022-12-19 01:12:14,41.5,33.6667,42.91,93,100,5.84
279,Vimperk,CZ,2022-12-19 01:12:14,49.0586,13.7829,25.21,80,100,1.83
280,Dicabisagan,PH,2022-12-19 01:12:15,17.0818,122.4157,74.7,88,100,14.38
281,Port Hardy,CA,2022-12-19 01:03:30,50.6996,-127.4199,22.75,49,12,11.45
282,Romitan,UZ,2022-12-19 01:12:16,39.9343,64.3814,28.35,93,88,2.3
283,Port Lincoln,AU,2022-12-19 01:12:16,-34.7333,135.8667,73.26,50,100,14.74
284,Carnarvon,AU,2022-12-19 01:12:17,-24.8667,113.6333,82.78,46,4,8.63
285,Alofi,NU,2022-12-19 01:12:17,-19.0595,-169.9187,79.7,78,0,10.96
286,Kansanshi,ZM,2022-12-19 01:12:18,-12.0951,26.4273,61.54,97,100,3.76
287,Kurayoshi,JP,2022-12-19 01:12:19,35.4333,133.8167,36.36,73,89,19.6
288,Mercedes,AR,2022-12-19 01:08:13,-34.6515,-59.4307,72.79,57,95,13.24
289,Verkhoyansk,RU,2022-12-19 01:12:19,67.5447,133.385,-25.1,94,100,1.3
290,Hambantota,LK,2022-12-19 01:12:20,6.1241,81.1185,73.62,94,100,9.24
291,Marawi,PH,2022-12-19 01:12:20,7.9986,124.2928,75.47,78,95,2.8
